Comunidades autónomas;Tipo de dato;Periodo;Total
01 Andalucía;Dato base;2022M12;533.927
01 Andalucía;Dato base;2022M11;592.129
01 Andalucía;Dato base;2022M10;1.048.112
01 Andalucía;Dato base;2022M09;1.101.005
01 Andalucía;Dato base;2022M08;1.295.900
01 Andalucía;Dato base;2022M07;1.122.579
01 Andalucía;Dato base;2022M06;1.009.682
01 Andalucía;Dato base;2022M05;1.040.000
01 Andalucía;Dato base;2022M04;908.068
01 Andalucía;Dato base;2022M03;609.932
01 Andalucía;Dato base;2022M02;425.087
01 Andalucía;Dato base;2022M01;323.469
01 Andalucía;Dato base;2021M12;332.287
01 Andalucía;Dato base;2021M11;486.298
01 Andalucía;Dato base;2021M10;813.081
01 Andalucía;Dato base;2021M09;687.624
01 Andalucía;Dato base;2021M08;699.075
01 Andalucía;Dato base;2021M07;555.120
01 Andalucía;Dato base;2021M06;296.125
01 Andalucía;Dato base;2021M05;166.171
01 Andalucía;Dato base;2021M04;83.006
01 Andalucía;Dato base;2021M03;51.049
01 Andalucía;Dato base;2021M02;28.715
01 Andalucía;Dato base;2021M01;49.789
01 Andalucía;Dato base;2020M12;60.600
01 Andalucía;Dato base;2020M11;49.175
01 Andalucía;Dato base;2020M10;143.610
01 Andalucía;Dato base;2020M09;179.190
01 Andalucía;Dato base;2020M08;363.850
01 Andalucía;Dato base;2020M07;359.754
01 Andalucía;Dato base;2020M06;13.997
01 Andalucía;Dato base;2020M05;0
01 Andalucía;Dato base;2020M04;0
01 Andalucía;Dato base;2020M03;298.332
01 Andalucía;Dato base;2020M02;626.653
01 Andalucía;Dato base;2020M01;605.451
01 Andalucía;Dato base;2019M12;557.861
01 Andalucía;Dato base;2019M11;614.169
01 Andalucía;Dato base;2019M10;1.191.120
01 Andalucía;Dato base;2019M09;1.375.342
01 Andalucía;Dato base;2019M08;1.403.701
01 Andalucía;Dato base;2019M07;1.256.656
01 Andalucía;Dato base;2019M06;1.243.394
01 Andalucía;Dato base;2019M05;1.204.749
01 Andalucía;Dato base;2019M04;1.131.483
01 Andalucía;Dato base;2019M03;842.934
01 Andalucía;Dato base;2019M02;626.983
01 Andalucía;Dato base;2019M01;574.761
01 Andalucía;Dato base;2018M12;552.595
01 Andalucía;Dato base;2018M11;604.357
01 Andalucía;Dato base;2018M10;1.140.163
01 Andalucía;Dato base;2018M09;1.319.350
01 Andalucía;Dato base;2018M08;1.424.410
01 Andalucía;Dato base;2018M07;1.327.577
01 Andalucía;Dato base;2018M06;1.168.948
01 Andalucía;Dato base;2018M05;1.193.716
01 Andalucía;Dato base;2018M04;1.044.566
01 Andalucía;Dato base;2018M03;787.749
01 Andalucía;Dato base;2018M02;579.798
01 Andalucía;Dato base;2018M01;538.026
