Motivo del viaje;Tipo de dato;Periodo;Total
Ocio, recreo y vacaciones;Dato base;2022M12;3.319.525
Ocio, recreo y vacaciones;Dato base;2022M11;3.554.483
Ocio, recreo y vacaciones;Dato base;2022M10;6.128.414
Ocio, recreo y vacaciones;Dato base;2022M09;6.863.955
Ocio, recreo y vacaciones;Dato base;2022M08;8.156.393
Ocio, recreo y vacaciones;Dato base;2022M07;8.304.492
Ocio, recreo y vacaciones;Dato base;2022M06;6.668.228
Ocio, recreo y vacaciones;Dato base;2022M05;5.931.285
Ocio, recreo y vacaciones;Dato base;2022M04;5.204.968
Ocio, recreo y vacaciones;Dato base;2022M03;3.358.283
Ocio, recreo y vacaciones;Dato base;2022M02;2.632.372
Ocio, recreo y vacaciones;Dato base;2022M01;2.009.257
Ocio, recreo y vacaciones;Dato base;2021M12;2.345.683
Ocio, recreo y vacaciones;Dato base;2021M11;2.815.695
Ocio, recreo y vacaciones;Dato base;2021M10;4.519.648
Ocio, recreo y vacaciones;Dato base;2021M09;4.161.869
Ocio, recreo y vacaciones;Dato base;2021M08;4.758.280
Ocio, recreo y vacaciones;Dato base;2021M07;3.871.103
Ocio, recreo y vacaciones;Dato base;2021M06;1.775.810
Ocio, recreo y vacaciones;Dato base;2021M05;1.006.187
Ocio, recreo y vacaciones;Dato base;2021M04;390.801
Ocio, recreo y vacaciones;Dato base;2021M03;267.565
Ocio, recreo y vacaciones;Dato base;2021M02;162.575
Ocio, recreo y vacaciones;Dato base;2021M01;274.925
Ocio, recreo y vacaciones;Dato base;2020M12;385.414
Ocio, recreo y vacaciones;Dato base;2020M11;295.647
Ocio, recreo y vacaciones;Dato base;2020M10;800.953
Ocio, recreo y vacaciones;Dato base;2020M09;902.587
Ocio, recreo y vacaciones;Dato base;2020M08;2.169.355
Ocio, recreo y vacaciones;Dato base;2020M07;2.122.117
Ocio, recreo y vacaciones;Dato base;2020M06;167.634
Ocio, recreo y vacaciones;Dato base;2020M05;0
Ocio, recreo y vacaciones;Dato base;2020M04;0
Ocio, recreo y vacaciones;Dato base;2020M03;1.657.119
Ocio, recreo y vacaciones;Dato base;2020M02;3.654.750
Ocio, recreo y vacaciones;Dato base;2020M01;3.377.951
Ocio, recreo y vacaciones;Dato base;2019M12;3.533.161
Ocio, recreo y vacaciones;Dato base;2019M11;3.815.851
Ocio, recreo y vacaciones;Dato base;2019M10;6.628.274
Ocio, recreo y vacaciones;Dato base;2019M09;7.947.555
Ocio, recreo y vacaciones;Dato base;2019M08;9.451.449
Ocio, recreo y vacaciones;Dato base;2019M07;8.975.647
Ocio, recreo y vacaciones;Dato base;2019M06;7.817.617
Ocio, recreo y vacaciones;Dato base;2019M05;6.917.988
Ocio, recreo y vacaciones;Dato base;2019M04;6.212.566
Ocio, recreo y vacaciones;Dato base;2019M03;4.685.301
Ocio, recreo y vacaciones;Dato base;2019M02;3.550.662
Ocio, recreo y vacaciones;Dato base;2019M01;3.440.353
Ocio, recreo y vacaciones;Dato base;2018M12;3.571.407
Ocio, recreo y vacaciones;Dato base;2018M11;3.763.368
Ocio, recreo y vacaciones;Dato base;2018M10;6.707.426
Ocio, recreo y vacaciones;Dato base;2018M09;7.987.061
Ocio, recreo y vacaciones;Dato base;2018M08;9.370.729
Ocio, recreo y vacaciones;Dato base;2018M07;9.070.322
Ocio, recreo y vacaciones;Dato base;2018M06;7.508.130
