País de residencia;Tipo de dato;Periodo;Total
Alemania;Dato base;2022M12;453.940
Alemania;Dato base;2022M11;526.060
Alemania;Dato base;2022M10;1.059.486
Alemania;Dato base;2022M09;1.141.699
Alemania;Dato base;2022M08;1.111.063
Alemania;Dato base;2022M07;1.097.080
Alemania;Dato base;2022M06;1.132.151
Alemania;Dato base;2022M05;976.860
Alemania;Dato base;2022M04;990.455
Alemania;Dato base;2022M03;608.382
Alemania;Dato base;2022M02;389.420
Alemania;Dato base;2022M01;282.002
Alemania;Dato base;2021M12;404.430
Alemania;Dato base;2021M11;480.277
Alemania;Dato base;2021M10;929.665
Alemania;Dato base;2021M09;833.147
Alemania;Dato base;2021M08;679.144
Alemania;Dato base;2021M07;707.397
Alemania;Dato base;2021M06;500.058
Alemania;Dato base;2021M05;338.709
Alemania;Dato base;2021M04;143.500
Alemania;Dato base;2021M03;104.567
Alemania;Dato base;2021M02;36.877
Alemania;Dato base;2021M01;51.123
Alemania;Dato base;2020M12;82.722
Alemania;Dato base;2020M11;76.410
Alemania;Dato base;2020M10;83.329
Alemania;Dato base;2020M09;88.109
Alemania;Dato base;2020M08;296.447
Alemania;Dato base;2020M07;430.014
Alemania;Dato base;2020M06;34.547
Alemania;Dato base;2020M05;0
Alemania;Dato base;2020M04;0
Alemania;Dato base;2020M03;273.067
Alemania;Dato base;2020M02;533.079
Alemania;Dato base;2020M01;493.713
Alemania;Dato base;2019M12;495.062
Alemania;Dato base;2019M11;569.008
Alemania;Dato base;2019M10;1.126.442
Alemania;Dato base;2019M09;1.265.644
Alemania;Dato base;2019M08;1.130.065
Alemania;Dato base;2019M07;1.243.087
Alemania;Dato base;2019M06;1.295.337
Alemania;Dato base;2019M05;1.085.570
Alemania;Dato base;2019M04;1.072.814
Alemania;Dato base;2019M03;809.144
Alemania;Dato base;2019M02;548.064
Alemania;Dato base;2019M01;517.785
Alemania;Dato base;2018M12;537.026
Alemania;Dato base;2018M11;575.223
Alemania;Dato base;2018M10;1.229.193
Alemania;Dato base;2018M09;1.363.598
Alemania;Dato base;2018M08;1.261.896
Alemania;Dato base;2018M07;1.281.415
Alemania;Dato base;2018M06;1.206.593
Alemania;Dato base;2018M05;1.180.827
Alemania;Dato base;2018M04;917.613
Alemania;Dato base;2018M03;823.232
Alemania;Dato base;2018M02;536.034
Alemania;Dato base;2018M01;502.305
Bélgica;Dato base;2022M12;133.634
Bélgica;Dato base;2022M11;141.745
Bélgica;Dato base;2022M10;221.570
Bélgica;Dato base;2022M09;281.751
Bélgica;Dato base;2022M08;302.063
Bélgica;Dato base;2022M07;421.294
Bélgica;Dato base;2022M06;213.015
Bélgica;Dato base;2022M05;199.090
Bélgica;Dato base;2022M04;230.930
Bélgica;Dato base;2022M03;144.268
Bélgica;Dato base;2022M02;120.461
Bélgica;Dato base;2022M01;103.568
Bélgica;Dato base;2021M12;131.835
Bélgica;Dato base;2021M11;150.687
Bélgica;Dato base;2021M10;207.983
Bélgica;Dato base;2021M09;236.285
Bélgica;Dato base;2021M08;238.814
Bélgica;Dato base;2021M07;257.589
Bélgica;Dato base;2021M06;102.035
Bélgica;Dato base;2021M05;69.112
Bélgica;Dato base;2021M04;24.223
Bélgica;Dato base;2021M03;12.509
Bélgica;Dato base;2021M02;9.049
Bélgica;Dato base;2021M01;23.971
Bélgica;Dato base;2020M12;37.902
Bélgica;Dato base;2020M11;27.709
Bélgica;Dato base;2020M10;39.997
Bélgica;Dato base;2020M09;39.491
Bélgica;Dato base;2020M08;118.043
Bélgica;Dato base;2020M07;153.256
Bélgica;Dato base;2020M06;10.225
Bélgica;Dato base;2020M05;0
Bélgica;Dato base;2020M04;0
Bélgica;Dato base;2020M03;65.045
Bélgica;Dato base;2020M02;133.042
Bélgica;Dato base;2020M01;118.701
Bélgica;Dato base;2019M12;129.864
Bélgica;Dato base;2019M11;139.559
Bélgica;Dato base;2019M10;183.385
Bélgica;Dato base;2019M09;267.754
Bélgica;Dato base;2019M08;306.038
Bélgica;Dato base;2019M07;385.358
Bélgica;Dato base;2019M06;245.796
Bélgica;Dato base;2019M05;204.034
Bélgica;Dato base;2019M04;242.254
Bélgica;Dato base;2019M03;178.684
Bélgica;Dato base;2019M02;122.700
Bélgica;Dato base;2019M01;120.461
Bélgica;Dato base;2018M12;115.299
Bélgica;Dato base;2018M11;138.519
Bélgica;Dato base;2018M10;196.418
Bélgica;Dato base;2018M09;258.322
Bélgica;Dato base;2018M08;298.838
Bélgica;Dato base;2018M07;397.051
Bélgica;Dato base;2018M06;226.520
Bélgica;Dato base;2018M05;213.616
Bélgica;Dato base;2018M04;249.303
