Destino principal;Comunidad autónoma de residencia;Duración del viaje;Forma de organización del viaje;Transporte principal;Motivo principal;Alojamiento principal: Nivel 1;Alojamiento principal: Nivel 2;Concepto turístico;Periodo;Total
01 Andalucía;Total;Total;Total;Total;Negocios y otros motivos profesionales;Total;;Viajes;2022;2.236.181
01 Andalucía;Total;Total;Total;Total;Negocios y otros motivos profesionales;Total;;Viajes;2021;2.124.329
01 Andalucía;Total;Total;Total;Total;Negocios y otros motivos profesionales;Total;;Viajes;2020;1.689.299
01 Andalucía;Total;Total;Total;Total;Negocios y otros motivos profesionales;Total;;Viajes;2019;1.893.374
01 Andalucía;Total;Total;Total;Total;Negocios y otros motivos profesionales;Total;;Viajes;2018;2.611.443
01 Andalucía;Total;Total;Total;Total;Ocio, recreo y vacaciones;Total;;Viajes;2022;15.353.501
01 Andalucía;Total;Total;Total;Total;Ocio, recreo y vacaciones;Total;;Viajes;2021;13.009.298
01 Andalucía;Total;Total;Total;Total;Ocio, recreo y vacaciones;Total;;Viajes;2020;9.103.251
01 Andalucía;Total;Total;Total;Total;Ocio, recreo y vacaciones;Total;;Viajes;2019;17.590.612
01 Andalucía;Total;Total;Total;Total;Ocio, recreo y vacaciones;Total;;Viajes;2018;16.963.300
01 Andalucía;Total;Total;Total;Total;Otros motivos;Total;;Viajes;2022;1.267.534
01 Andalucía;Total;Total;Total;Total;Otros motivos;Total;;Viajes;2021;1.580.332
01 Andalucía;Total;Total;Total;Total;Otros motivos;Total;;Viajes;2020;888.960
01 Andalucía;Total;Total;Total;Total;Otros motivos;Total;;Viajes;2019;1.797.527
01 Andalucía;Total;Total;Total;Total;Otros motivos;Total;;Viajes;2018;1.583.963
